OBJECTID_1 *,Shape *,OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,BBS_ROUTE_,ROUTE_,ROUTENAME,ACTIVE,STRATUM,BCR_REGION,ASSIGN2001,SOURCETHM,Shape_Length
9,Polyline,543,0,0,0,0,0.434,543,17004,HARMONY,1,87,16,1,Bbs10.shp,0.434514
10,Polyline,544,0,0,0,0,0.414,544,17005,BRIGGSDALE,1,36,18,0,Bbs10.shp,0.413542
12,Polyline,549,0,0,0,0,0.429,549,17006,PINNEO,1,36,18,1,Bbs10.shp,0.429305
4,Polyline,533,0,0,0,0,0.465,533,17007,FLEMING,1,36,18,1,Bbs10.shp,0.465316
24,Polyline,578,0,0,0,0,0.479,578,17012,KIOWA,1,87,18,1,Bbs10.shp,0.478683
16,Polyline,559,0,0,0,0,0.426,559,17013,LAST CHANCE,1,36,18,1,Bbs10.shp,0.426235
19,Polyline,562,0,0,0,0,0.428,562,17014,ABARR,1,36,18,1,Bbs10.shp,0.427798
32,Polyline,599,0,0,0,0,0.373,599,17019,RUSH,1,36,18,1,Bbs10.shp,0.372601
30,Polyline,594,0,0,0,0,0.361,594,17020,BOYERO,1,36,18,1,Bbs10.shp,0.360681
38,Polyline,612,0,0,0,0,0.424,612,17021,LAMAR,1,36,18,1,Bbs10.shp,0.423628
726,Polyline,4273,0,0,0,0,0.397,4273,17026,MICA BUTTE,0,87,16,9,Bbs10.shp,0.397156
41,Polyline,620,0,0,0,0,0.398,620,17027,GILPIN,1,36,18,1,Bbs10.shp,0.397978
44,Polyline,633,0,0,0,0,0.387,633,17028,TWO BUTTES,1,36,18,0,Bbs10.shp,0.387485
14,Polyline,555,0,0,0,0,0.377,555,17035,HUDSON,1,36,18,1,Bbs10.shp,0.376838
8,Polyline,540,0,0,0,0,0.382,540,17036,WILDHORSE L,1,36,18,1,Bbs10.shp,0.381683
13,Polyline,550,0,0,0,0,0.439,550,17037,WAVERLY,1,36,18,1,Bbs10.shp,0.438695
18,Polyline,561,0,0,0,0,0.444,561,17042,ADAMS CO.,1,36,18,1,Bbs10.shp,0.444241
20,Polyline,566,0,0,0,0,0.373,566,17043,GORDON CREEK,1,36,18,1,Bbs10.shp,0.37284
27,Polyline,589,0,0,0,0,0.374,589,17044,BETHUNE,1,36,18,1,Bbs10.shp,0.373947
31,Polyline,595,0,0,0,0,0.412,595,17049,EDISON,1,36,18,1,Bbs10.shp,0.41226
36,Polyline,610,0,0,0,0,0.384,610,17050,CROWLEY,1,36,18,1,Bbs10.shp,0.383623
29,Polyline,592,0,0,0,0,0.427,592,17051,CHEYENNE,1,36,18,0,Bbs10.shp,0.427375
51,Polyline,659,0,0,0,0,0.414,659,17056,TRINCHERA,1,87,18,1,Bbs10.shp,0.413564
47,Polyline,643,0,0,0,0,0.365,643,17057,VILLEGREEN,1,87,18,1,Bbs10.shp,0.365461
50,Polyline,654,0,0,0,0,0.429,654,17058,CAMPO,1,36,18,1,Bbs10.shp,0.429165
45,Polyline,634,0,0,0,0,0.443,634,17126,CONE MTN,1,87,18,1,Bbs10.shp,0.442863
2,Polyline,526,0,0,0,0,0.472,526,17205,GROVER,1,36,18,1,Bbs10.shp,0.472184
7,Polyline,538,0,0,0,0,0.476,538,17206,STONEHAM,1,36,18,1,Bbs10.shp,0.476335
5,Polyline,535,0,0,0,0,0.366,535,17207,AMHERST,1,36,18,1,Bbs10.shp,0.366456
15,Polyline,557,0,0,0,0,0.448,557,17212,PROSPECT VAL,1,36,18,1,Bbs10.shp,0.448178
23,Polyline,577,0,0,0,0,0.447,577,17213,LIMON,1,36,18,1,Bbs10.shp,0.447474
22,Polyline,571,0,0,0,0,0.46,571,17214,KIRK,1,36,18,0,Bbs10.shp,0.460453
39,Polyline,613,0,0,0,0,0.435,613,17218,WET MTNS.,1,62,16,1,Bbs10.shp,0.435231
40,Polyline,617,0,0,0,0,0.449,617,17219,DOYLE BRIDGE,0,36,18,9,Bbs10.shp,0.449083
37,Polyline,611,0,0,0,0,0.411,611,17220,HASWELL,1,36,18,0,Bbs10.shp,0.410974
35,Polyline,609,0,0,0,0,0.46,609,17221,NEEGRANDE,1,36,18,1,Bbs10.shp,0.460405
43,Polyline,631,0,0,0,0,0.382,631,17227,NINAVIEW,1,87,18,1,Bbs10.shp,0.382175
49,Polyline,650,0,0,0,0,0.45,650,17228,EDLER,1,36,18,1,Bbs10.shp,0.449827
6,Polyline,536,0,0,0,0,0.401,536,17305,NUNN,1,36,18,1,Bbs10.shp,0.40058
11,Polyline,547,0,0,0,0,0.468,547,17306,FORT MORGAN,1,36,18,1,Bbs10.shp,0.467868
1,Polyline,525,0,0,0,0,0.468,525,17307,JULESBURG,1,36,18,1,Bbs10.shp,0.468074
21,Polyline,569,0,0,0,0,0.452,569,17312,BENNETT,1,36,18,1,Bbs10.shp,0.451525
25,Polyline,582,0,0,0,0,0.391,582,17313,FLAGLER,1,36,18,1,Bbs10.shp,0.391204
26,Polyline,583,0,0,0,0,0.385,583,17314,BURLINGTON,1,36,18,0,Bbs10.shp,0.385453
33,Polyline,600,0,0,0,0,0.355,600,17319,ELLICOTT,1,36,18,1,Bbs10.shp,0.355045
28,Polyline,590,0,0,0,0,0.458,590,17320,KARVAL,1,36,18,1,Bbs10.shp,0.458061
34,Polyline,607,0,0,0,0,0.373,607,17321,SHERIDAN LAK,1,36,18,1,Bbs10.shp,0.373169
46,Polyline,635,0,0,0,0,0.402,635,17326,WALSENBURG,1,84,16,1,Bbs10.shp,0.402069
42,Polyline,623,0,0,0,0,0.405,623,17327,TIMPAS,1,36,18,1,Bbs10.shp,0.405335
48,Polyline,644,0,0,0,0,0.388,644,17328,PRITCHETT,1,36,18,1,Bbs10.shp,0.388362
682,Polyline,3740,0,0,0,0,0.429,3740,17362,ELBERT,1,87,18,1,Bbs10.shp,0.4286
681,Polyline,3731,0,0,0,0,0.385,3731,17376,LUDLOW,1,84,16,1,Bbs10.shp,0.384919
680,Polyline,3730,0,0,0,0,0.469,3730,17419,DOYLE BRIDGE 2,1,36,18,1,Bbs10.shp,0.467036
17,Polyline,560,0,0,0,0,0.373,560,17900,ARSENAL,1,36,18,1,Bbs10.shp,0.372959
3,Polyline,527,0,0,0,0,0.442,527,17901,ROCKPORT,1,36,18,1,Bbs10.shp,0.442197
84,Polyline,1142,0,0,0,0,0.393,1142,36001,MT HAMILL,1,32,22,1,Bbs10.shp,0.392565
81,Polyline,1139,0,0,0,0,0.441,1139,36002,EXLINE,1,32,22,1,Bbs10.shp,0.440621
80,Polyline,1138,0,0,0,0,0.423,1138,36003,MELROSE,1,32,22,1,Bbs10.shp,0.423446
83,Polyline,1141,0,0,0,0,0.399,1141,36004,BEDFORD,1,32,22,1,Bbs10.shp,0.39858
82,Polyline,1140,0,0,0,0,0.515,1140,36005,COLLEGE SPGS,1,32,22,1,Bbs10.shp,0.514817
69,Polyline,1127,0,0,0,0,0.443,1127,36006,BRYANT,1,32,22,1,Bbs10.shp,0.443149
74,Polyline,1132,0,0,0,0,0.472,1132,36007,WEST LIBERTY,1,32,22,1,Bbs10.shp,0.472292
71,Polyline,1129,0,0,0,0,0.417,1129,36008,CEDAR VALLEY,0,32,22,9,Bbs10.shp,0.417261
76,Polyline,1134,0,0,0,0,0.358,1134,36009,BROOKLYN,1,32,22,0,Bbs10.shp,0.357869
75,Polyline,1133,0,0,0,0,0.448,1133,36010,WILLIAMSBURG,1,32,22,1,Bbs10.shp,0.448297
78,Polyline,1136,0,0,0,0,0.472,1136,36011,RED ROCK,1,32,22,1,Bbs10.shp,0.472089
725,Polyline,4239,0,0,0,0,0.39,4239,36012,DESMOINES,0,32,22,9,Bbs10.shp,0.383261
73,Polyline,1131,0,0,0,0,0.365,1131,36013,PANTHER,1,40,11,1,Bbs10.shp,0.3652
72,Polyline,1130,0,0,0,0,0.408,1130,36014,WASHINGTON,1,40,11,1,Bbs10.shp,0.408288
77,Polyline,1135,0,0,0,0,0.454,1135,36015,NEOLA,1,32,22,1,Bbs10.shp,0.454228
79,Polyline,1137,0,0,0,0,0.464,1137,36016,WALES,1,32,22,1,Bbs10.shp,0.464498
66,Polyline,1124,0,0,0,0,0.41,1124,36017,MAQUOKETA,1,17,22,1,Bbs10.shp,0.410152
67,Polyline,1125,0,0,0,0,0.41,1125,36018,ALICE,0,32,22,9,Bbs10.shp,0.409843
64,Polyline,1122,0,0,0,0,0.378,1122,36019,PRAIRIEBURG,1,32,22,1,Bbs10.shp,0.378448
60,Polyline,1118,0,0,0,0,0.424,1118,36020,HUDSON,1,32,22,0,Bbs10.shp,0.423577
62,Polyline,1120,0,0,0,0,0.359,1120,36021,DINSDALE,1,32,22,0,Bbs10.shp,0.358561
57,Polyline,1115,0,0,0,0,0.456,1115,36022,KANAWHA,1,40,11,1,Bbs10.shp,0.455885
724,Polyline,4238,0,0,0,0,0.472,4238,36023,ZEARING,0,40,11,9,Bbs10.shp,0.471516
68,Polyline,1126,0,0,0,0,0.447,1126,36024,SCRANTON,1,40,11,1,Bbs10.shp,0.446621
58,Polyline,1116,0,0,0,0,0.384,1116,36025,CLARE,1,40,11,1,Bbs10.shp,0.383718
59,Polyline,1117,0,0,0,0,0.392,1117,36026,PIERSON,1,32,22,1,Bbs10.shp,0.392163
61,Polyline,1119,0,0,0,0,0.415,1119,36027,WASHTA,1,32,22,1,Bbs10.shp,0.415428
63,Polyline,1121,0,0,0,0,0.412,1121,36028,SIOUX CITY,1,32,22,1,Bbs10.shp,0.411658
52,Polyline,1110,0,0,0,0,0.389,1110,36030,DAVIS CORNER,1,32,22,0,Bbs10.shp,0.389148
723,Polyline,4237,0,0,0,0,0.473,4237,36031,GARNER,0,40,11,9,Bbs10.shp,0.472576
56,Polyline,1114,0,0,0,0,0.449,1114,36032,TITONKA,1,40,11,1,Bbs10.shp,0.449438
55,Polyline,1113,0,0,0,0,0.467,1113,36033,GAZA,1,32,22,1,Bbs10.shp,0.466975
53,Polyline,1111,0,0,0,0,0.434,1111,36034,ROCK VALLEY,1,32,22,1,Bbs10.shp,0.434252
70,Polyline,1128,0,0,0,0,0.406,1128,36108,TIPTON,1,32,22,1,Bbs10.shp,0.405513
679,Polyline,3702,0,0,0,0,0.405,3702,36118,LAFAYETTE,1,32,22,0,Bbs10.shp,0.404722
65,Polyline,1123,0,0,0,0,0.478,1123,36123,MCCALLSBURG,1,40,11,1,Bbs10.shp,0.477875
