OBJECTID_1 *,Shape *,ROUTE_,Shape_Length
1,Polyline,17004,0.434514
2,Polyline,17005,0.413542
3,Polyline,17006,0.429305
4,Polyline,17007,0.465316
5,Polyline,17012,0.478683
6,Polyline,17013,0.426235
7,Polyline,17014,0.427798
8,Polyline,17019,0.372601
9,Polyline,17020,0.360681
10,Polyline,17021,0.423628
11,Polyline,17026,0.397156
12,Polyline,17027,0.397978
13,Polyline,17028,0.387485
14,Polyline,17035,0.376838
15,Polyline,17036,0.381683
16,Polyline,17037,0.438695
17,Polyline,17042,0.444241
18,Polyline,17043,0.37284
19,Polyline,17044,0.373947
20,Polyline,17049,0.41226
21,Polyline,17050,0.383623
22,Polyline,17051,0.427375
23,Polyline,17056,0.413564
24,Polyline,17057,0.365461
25,Polyline,17058,0.429165
26,Polyline,17126,0.442863
27,Polyline,17205,0.472184
28,Polyline,17206,0.476335
29,Polyline,17207,0.366456
30,Polyline,17212,0.448178
31,Polyline,17213,0.447474
32,Polyline,17214,0.460453
33,Polyline,17218,0.435231
34,Polyline,17219,0.449083
35,Polyline,17220,0.410974
36,Polyline,17221,0.460405
37,Polyline,17227,0.382175
38,Polyline,17228,0.449827
39,Polyline,17305,0.40058
40,Polyline,17306,0.467868
41,Polyline,17307,0.468074
42,Polyline,17312,0.451525
43,Polyline,17313,0.391204
44,Polyline,17314,0.385453
45,Polyline,17319,0.355045
46,Polyline,17320,0.458061
47,Polyline,17321,0.373169
48,Polyline,17326,0.402069
49,Polyline,17327,0.405335
50,Polyline,17328,0.388362
51,Polyline,17362,0.428587
52,Polyline,17376,0.384919
53,Polyline,17419,0.467036
54,Polyline,17900,0.372959
55,Polyline,17901,0.442197
56,Polyline,36001,0.392565
57,Polyline,36002,0.440621
58,Polyline,36003,0.423446
59,Polyline,36004,0.39858
60,Polyline,36005,0.514817
61,Polyline,36006,0.443149
62,Polyline,36007,0.472292
63,Polyline,36008,0.417261
64,Polyline,36009,0.357869
65,Polyline,36010,0.448297
66,Polyline,36011,0.472089
67,Polyline,36012,0.383261
68,Polyline,36013,0.3652
69,Polyline,36014,0.408288
70,Polyline,36015,0.454228
71,Polyline,36016,0.464498
72,Polyline,36017,0.410152
73,Polyline,36018,0.409843
74,Polyline,36019,0.378448
75,Polyline,36020,0.423577
76,Polyline,36021,0.358561
77,Polyline,36022,0.455885
78,Polyline,36023,0.471516
79,Polyline,36024,0.446621
80,Polyline,36025,0.383718
81,Polyline,36026,0.392163
82,Polyline,36027,0.415428
83,Polyline,36028,0.411658
84,Polyline,36030,0.389148
85,Polyline,36031,0.472576
86,Polyline,36032,0.449438
87,Polyline,36033,0.466975
88,Polyline,36034,0.434252
89,Polyline,36108,0.405513
90,Polyline,36118,0.402746
91,Polyline,36123,0.477875
92,Polyline,36131,0.470709
93,Polyline,38001,0.373016
94,Polyline,38002,0.363532
95,Polyline,38003,0.439987
96,Polyline,38004,0.431141
97,Polyline,38005,0.417141
98,Polyline,38006,0.37865
99,Polyline,38007,0.406953
100,Polyline,38008,0.388948
101,Polyline,38009,0.395172
102,Polyline,38010,0.395285
103,Polyline,38011,0.404937
104,Polyline,38012,0.412919
105,Polyline,38013,0.489307
106,Polyline,38014,0.442453
107,Polyline,38015,0.458357
