OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
1,469,840,6,1,MT TRUMBULL,0,36.411816,-113.325317,87,16,1,1,6001,Point
2,470,840,6,2,HOUSE ROCK,1,36.731395,-112.046051,87,16,1,1,6002,Point
3,471,840,6,3,THE GAP,0,36.162354,-111.386582,87,16,1,1,6003,Point
4,472,840,6,4,BLACK MESA,1,36.561287,-110.501946,84,16,1,1,6004,Point
5,473,840,6,5,ROUND ROCK,0,36.508927,-109.472686,84,16,1,1,6005,Point
6,475,840,6,7,YAMPAI,0,35.515618,-113.201668,87,16,1,1,6007,Point
7,476,840,6,8,ROSE WELLS,0,35.754907,-112.872192,87,16,1,1,6008,Point
8,477,840,6,9,FLAGSTAFF,1,35.395062,-111.577781,84,34,1,1,6009,Point
9,478,840,6,10,ORAIBI,1,35.86872,-110.62304,87,16,1,1,6010,Point
10,479,840,6,11,SAWMILL,1,35.678979,-109.204621,84,16,1,1,6011,Point
11,482,840,6,14,PRESCOTT,1,34.643638,-112.43804,84,34,1,1,6014,Point
12,483,840,6,15,MORMON LAKE,0,34.849205,-111.43425,84,34,1,1,6015,Point
13,484,840,6,16,ZENIFF,0,34.667367,-110.323014,87,16,1,1,6016,Point
14,502,840,6,51,TOROWEAP,1,36.28638,-113.064987,87,16,1,1,6051,Point
15,503,840,6,52,DRY PARK,1,36.313148,-112.031972,84,16,1,1,6052,Point
16,504,840,6,53,PAGE,1,36.913228,-111.4527,87,16,1,1,6053,Point
17,505,840,6,54,COW SPRINGS,1,36.391564,-110.879432,87,16,1,1,6054,Point
18,506,840,6,55,MANY FARMS,1,36.359924,-109.643791,87,16,1,1,6055,Point
19,509,840,6,58,WILLIAMS,1,35.055633,-112.218834,84,34,1,1,6058,Point
20,510,840,6,59,MAINE,1,35.163411,-111.947586,84,34,1,1,6059,Point
21,511,840,6,60,CASTLE BUTTE,1,35.277982,-110.379899,87,16,1,1,6060,Point
22,512,840,6,61,GREASEWOOD,0,35.530235,-109.851609,87,16,1,1,6061,Point
23,514,840,6,64,SKULL VALLEY,1,34.773373,-112.619227,87,34,1,1,6064,Point
24,516,840,6,66,FOREST LAKES,1,34.7,-110.766667,84,34,1,1,6066,Point
25,534,840,6,101,NAVAJO TRAIL,1,36.690102,-113.458786,87,16,1,1,6101,Point
26,535,840,6,103,KAIBITO,1,36.609547,-111.076866,87,16,1,1,6103,Point
27,536,840,6,105,TSAILE,1,36.301969,-109.196587,84,16,1,1,6105,Point
28,538,840,6,107,PEACH SPRING,1,35.554156,-113.376017,87,16,1,1,6107,Point
29,539,840,6,108,SELIGMAN,1,35.230796,-112.585968,87,16,1,1,6108,Point
30,540,840,6,115,HAPPY JACK,1,34.837996,-111.438286,84,34,1,1,6115,Point
31,541,840,6,116,CLAY SPRING,1,34.611618,-110.378168,84,34,1,1,6116,Point
32,550,840,6,161,KLAGETOH,1,35.541305,-109.323218,87,16,1,1,6161,Point
33,806,840,14,3,NUBIEBER,1,41.101407,-121.257131,85,9,1,1,14003,Point
34,810,840,14,7,RED BLUFF,1,40.352016,-122.305965,92,32,1,1,14007,Point
35,811,840,14,8,LASSEN PARK,0,40.494113,-121.425529,66,15,1,1,14008,Point
36,812,840,14,9,EAGLE LAKE,1,40.5759,-120.69828,85,15,1,1,14009,Point
37,816,840,14,13,WESTVILLE,1,39.123969,-120.75962,66,15,1,1,14013,Point
38,820,840,14,17,COTTAGE SPGS,0,38.356345,-120.212166,66,15,1,1,14017,Point
39,821,840,14,18,DARDANELLE,1,38.343239,-119.836258,66,15,1,1,14018,Point
40,825,840,14,22,BASS LAKE,1,37.367086,-119.630211,92,15,1,1,14022,Point
41,826,840,14,23,BIG PINE,1,37.172092,-118.022002,88,9,1,1,14023,Point
