OBJECTID,Shape,rteno,RTENAME,Shape_Length
1,Polyline,14009,EAGLE LAKE,0.408183
2,Polyline,14018,DARDANELLE,0.485004
3,Polyline,14073,INGALLS,0.419881
4,Polyline,14076,RAVENDALE,0.484959
5,Polyline,14084,BENTON,0.46474
6,Polyline,14096,BODIE,0.461288
7,Polyline,14151,LIKELY,0.42462
8,Polyline,14154,CROWLEY LAKE,0.435908
9,Polyline,14162,HONEY LAKE,0.475045
10,Polyline,14165,DAVIS CREEK,0.398286
11,Polyline,14170,BRIDGEPORT,0.426307
12,Polyline,14176,CLEAR LK RES,0.445413
13,Polyline,14177,CEDARVILLE,0.402049
14,Polyline,14192,DEEP SPRINGS,0.449114
15,Polyline,14405,HACKAMORE,0.452232
16,Polyline,14406,TIONESTA,0.588395
17,Polyline,14407,CROWDER FLAT,0.637741
18,Polyline,14408,MADELINE,0.43969
19,Polyline,14426,CRESTVIEW,0.707455
20,Polyline,14433,CHILCOOT,0.429814
21,Polyline,17001,MAYBELL,0.432409
22,Polyline,17002,GREAT DIVIDE,0.434427
23,Polyline,17003,YAMPA,0.450391
24,Polyline,17009,BUFORD,0.485966
25,Polyline,17031,WRAY GULCH,0.433084
26,Polyline,17032,WILSON CREEK,0.409728
27,Polyline,17033,WALDEN,0.405398
28,Polyline,17201,BROWNS PARK,0.478638
29,Polyline,17203,BUFFALO PARK,0.356752
30,Polyline,17301,DINOSAUR,0.561258
31,Polyline,17302,LAY,0.450133
32,Polyline,17351,ANGORA,0.524386
33,Polyline,17352,YELLOWJACKET PASS,0.593271
34,Polyline,17353,STILLWATER PASS,0.35319
35,Polyline,17360,RADIUM,0.361953
36,Polyline,33010,BAKER,0.420903
37,Polyline,33013,CHALLIS,0.37544
38,Polyline,33014,LEADORE,0.425319
39,Polyline,33015,DUBOIS,0.45142
40,Polyline,33019,ALTURAS,0.391082
41,Polyline,33020,CRATERS,0.444263
42,Polyline,33021,SPRINGFIELD,0.510338
43,Polyline,33022,RIRIE,0.447192
44,Polyline,33023,TRIANGLE,0.403867
45,Polyline,33025,MAGIC MTN,0.415677
46,Polyline,33026,ACEQUIA,0.377219
47,Polyline,33028,HENRY,0.44106
48,Polyline,33119,SAWTOOTH CTY,0.391451
49,Polyline,33128,BLACKFT RES,0.374831
50,Polyline,33211,CRANE CREEK,0.380299
51,Polyline,33214,IRON SPRINGS,0.42028
52,Polyline,33217,SILVER CITY,0.368894
53,Polyline,33219,PICABO,0.392677
54,Polyline,33220,CAREY,0.400557
55,Polyline,33221,MUD LAKE,0.411503
56,Polyline,33223,DOUGAL RES,0.452634
57,Polyline,33224,HOT SPRING,0.410029
58,Polyline,33226,ALMO,0.43135
59,Polyline,33227,DANIELS RES,0.3954
60,Polyline,33228,PRESTON,0.412381
61,Polyline,33901,TWIN BUTTES,0.412829
62,Polyline,33902,LOST RIVER,0.525771
63,Polyline,33903,KYLE CANYON,0.385258
64,Polyline,33904,CIRCULAR BU,0.391657
65,Polyline,33905,TRACTOR FLAT,0.401719
66,Polyline,53007,CLEVELAND,0.484695
67,Polyline,53008,HARLEM,0.403948
68,Polyline,53009,MALTA,0.487415
69,Polyline,53010,GLASGOW,0.465924
70,Polyline,53011,OSWEGO,0.394498
71,Polyline,53019,LEROY,0.465444
72,Polyline,53020,ROY,0.447503
73,Polyline,53021,BRUSETT,0.457373
74,Polyline,53022,JORDAN,0.377384
75,Polyline,53023,CIRCLE,0.392944
76,Polyline,53030,SHAWMUT,0.401972
