OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
1,470,840,6,2,HOUSE ROCK,1,36.731395,-112.046051,87,16,1,1,6002,Point
2,471,840,6,3,THE GAP,0,36.162354,-111.386582,87,16,1,1,6003,Point
3,472,840,6,4,BLACK MESA,1,36.561287,-110.501946,84,16,1,1,6004,Point
4,473,840,6,5,ROUND ROCK,0,36.508927,-109.472686,84,16,1,1,6005,Point
5,478,840,6,10,ORAIBI,1,35.86872,-110.62304,87,16,1,1,6010,Point
6,504,840,6,53,PAGE,1,36.913228,-111.4527,87,16,1,1,6053,Point
7,505,840,6,54,COW SPRINGS,1,36.391564,-110.879432,87,16,1,1,6054,Point
8,506,840,6,55,MANY FARMS,1,36.359924,-109.643791,87,16,1,1,6055,Point
9,512,840,6,61,GREASEWOOD,0,35.530235,-109.851609,87,16,1,1,6061,Point
10,535,840,6,103,KAIBITO,1,36.609547,-111.076866,87,16,1,1,6103,Point
11,536,840,6,105,TSAILE,1,36.301969,-109.196587,84,16,1,1,6105,Point
12,832,840,14,29,UBEHEBE,1,36.712668,-117.573792,80,33,1,1,14029,Point
13,833,840,14,30,HAIWEE RES,1,36.155872,-117.885948,80,33,1,1,14030,Point
14,834,840,14,31,WILDROSE,1,36.538175,-117.213837,80,33,1,1,14031,Point
15,859,840,14,56,DARWIN,1,36.318097,-117.67173,80,33,1,1,14056,Point
16,861,840,14,58,EUREKA VAL,1,37.22675,-117.76117,80,33,1,1,14058,Point
17,866,840,14,63,TRONA,1,35.818032,-117.342044,83,33,1,1,14063,Point
18,924,840,14,124,DEATH VALLEY,1,36.437309,-116.851174,80,33,1,1,14124,Point
19,948,840,14,151,LIKELY,1,41.235147,-120.336829,85,9,1,1,14151,Point
20,959,840,14,162,HONEY LAKE,1,40.49329,-120.108001,89,9,1,1,14162,Point
21,974,840,14,177,CEDARVILLE,1,41.529576,-120.171852,89,9,1,1,14177,Point
22,989,840,14,192,DEEP SPRINGS,1,37.415801,-118.004311,88,9,1,1,14192,Point
23,1045,840,14,417,LITTLE TRUCKEE,1,39.506243,-120.096211,66,15,1,1,14417,Point
24,1061,840,14,433,CHILCOOT,1,39.797814,-120.139403,85,15,1,1,14433,Point
25,1079,840,17,1,MAYBELL,1,40.74022,-108.088326,86,10,1,1,17001,Point
26,1080,840,17,2,GREAT DIVIDE,1,40.840323,-107.690102,86,10,1,1,17002,Point
27,1081,840,17,3,YAMPA,1,40.153186,-106.874918,84,16,1,1,17003,Point
28,1086,840,17,8,DOUGLAS PASS,1,39.400343,-108.812363,84,16,1,1,17008,Point
29,1087,840,17,9,BUFORD,1,39.965891,-107.648323,84,16,1,1,17009,Point
30,1100,840,17,22,DOLORES,0,37.518197,-108.535576,84,16,1,1,17022,Point
31,1101,840,17,23,FALFA,1,37.214951,-107.791809,84,16,1,1,17023,Point
32,1107,840,17,31,WRAY GULCH,1,40.065301,-108.415387,84,16,1,1,17031,Point
33,1108,840,17,32,WILSON CREEK,1,40.138026,-107.969772,84,16,1,1,17032,Point
34,1114,840,17,38,FRUITA,0,39.164394,-108.701244,87,16,1,1,17038,Point
35,1115,840,17,39,WILLOW PEAK,1,39.664036,-107.123213,62,16,1,1,17039,Point
36,1121,840,17,45,UNCOMPAHGRE,1,38.739729,-108.623622,62,16,1,1,17045,Point
37,1128,840,17,52,DOLORES RIV,1,37.790749,-108.020439,62,16,1,1,17052,Point
38,1131,840,17,55,ALAMOSA,1,37.181085,-105.745965,87,16,1,1,17055,Point
39,1138,840,17,122,CORTEZ,0,37.516654,-108.464516,84,16,1,1,17122,Point
40,1142,840,17,138,Rosevale,1,39.052106,-108.575577,84,16,1,1,17138,Point
41,1145,840,17,201,BROWNS PARK,1,40.616553,-108.673668,84,10,1,1,17201,Point
42,1146,840,17,202,DUNCKLEY PAS,1,40.210173,-107.03314,62,16,1,1,17202,Point
43,1152,840,17,208,DE BEQUE,1,39.513037,-108.46228,84,16,1,1,17208,Point
44,1153,840,17,209,FLATTOPS,1,39.646815,-107.616966,62,16,1,1,17209,Point
45,1166,840,17,222,GROUNDHOG RS,1,37.780186,-108.088845,62,16,1,1,17222,Point
46,1167,840,17,223,PIEDRA,1,37.232938,-107.183624,62,16,1,1,17223,Point
47,1174,840,17,301,DINOSAUR,1,40.277766,-108.559632,84,16,1,1,17301,Point
48,1175,840,17,302,LAY,1,40.668104,-107.861603,86,10,1,1,17302,Point
49,1176,840,17,303,STEAMBOAT L.,1,40.674608,-106.933185,62,16,1,1,17303,Point
50,1181,840,17,308,BAXTER PASS,1,39.443328,-108.954895,84,16,1,1,17308,Point
51,1188,840,17,315,BASIN,1,38.068777,-108.460831,87,16,1,1,17315,Point
52,1195,840,17,322,MCPHEE RES.,1,37.839953,-108.761077,84,16,1,1,17322,Point
53,1196,840,17,323,ANIMAS,0,37.237083,-107.870132,84,16,1,1,17323,Point
54,1202,840,17,351,ANGORA,1,40.204444,-108.753982,84,16,1,1,17351,Point
55,1203,840,17,352,YELLOWJACKET PASS,1,40.052265,-107.873617,84,16,1,1,17352,Point
56,1206,840,17,358,PICEANCE BASIN,0,39.822869,-108.165154,84,16,1,1,17358,Point
57,1207,840,17,359,RIFLE FALLS,1,39.757834,-107.692269,84,16,1,1,17359,Point
58,1208,840,17,360,RADIUM,0,39.953968,-106.55835,62,16,1,1,17360,Point
59,1211,840,17,365,NUCLA,1,38.270086,-108.53668,62,16,1,1,17365,Point
60,1215,840,17,372,HAYCAMP MESA,1,37.443248,-108.474358,62,16,1,1,17372,Point
61,1220,840,17,377,BLACK SULPHUR CR,1,39.871749,-108.284991,84,16,1,1,17377,Point
62,1225,840,17,422,Cortez 2,1,37.516654,-108.46451,84,16,1,1,17422,Point
63,1226,840,17,423,ANIMAS 2,1,37.231433,-107.869555,84,16,1,1,17423,Point
64,1233,840,17,903,MESAVERDE NP,1,37.270407,-108.48243,84,16,1,2,17903,Point
65,1530,840,33,21,SPRINGFIELD,1,43.110429,-112.731798,89,9,1,1,33021,Point
66,1532,840,33,23,TRIANGLE,1,42.813142,-116.639401,89,9,1,1,33023,Point
67,1536,840,33,27,POCATELLO,1,42.854817,-112.519388,88,9,1,1,33027,Point
68,1537,840,33,28,HENRY,0,42.930964,-111.552459,88,9,1,1,33028,Point
69,1545,840,33,128,BLACKFT RES,1,42.961315,-111.718551,89,9,1,1,33128,Point
70,1556,840,33,217,SILVER CITY,1,43.158435,-116.508828,89,9,1,1,33217,Point
71,1560,840,33,221,MUD LAKE,1,43.812427,-112.396012,89,9,1,1,33221,Point
72,1562,840,33,223,DOUGAL RES,1,42.64393,-116.993676,89,9,1,1,33223,Point
73,1566,840,33,227,DANIELS RES,1,42.498831,-112.391815,88,9,1,1,33227,Point
74,1567,840,33,228,PRESTON,1,42.002139,-111.95381,88,9,1,1,33228,Point
75,1569,840,33,901,TWIN BUTTES,1,43.521597,-112.65036,89,9,1,2,33901,Point
76,1571,840,33,903,KYLE CANYON,1,43.743192,-112.842387,89,9,1,2,33903,Point
77,1572,840,33,904,CIRCULAR BU,1,43.560202,-112.872159,89,9,1,2,33904,Point
78,1573,840,33,905,TRACTOR FLAT,1,43.549259,-112.63692,89,9,1,2,33905,Point
79,2898,840,55,1,VYA,0,41.488249,-119.830399,89,9,1,1,55001,Point
80,2899,840,55,2,PIUTE MDWS,1,41.317188,-118.900406,80,9,1,1,55002,Point
81,2900,840,55,3,CALICO SPR,0,41.882338,-117.103486,88,9,1,1,55003,Point
82,2901,840,55,4,MIDAS,1,41.226382,-116.590034,88,9,1,1,55004,Point
83,2902,840,55,5,DINNER STA,0,41.070452,-115.900767,88,9,1,1,55005,Point
84,2903,840,55,6,RANCHOGRANDE,1,41.946098,-114.072808,88,9,1,1,55006,Point
85,2904,840,55,7,SAND PASS,1,40.263694,-119.77965,80,9,1,1,55007,Point
86,2905,840,55,8,RYE PATCH,0,40.479282,-118.332916,80,9,1,1,55008,Point
87,2906,840,55,9,FISH CREEK,1,40.168622,-117.187278,88,9,1,1,55009,Point
88,2907,840,55,10,CORTEZ,1,40.080283,-116.585888,88,9,1,1,55010,Point
89,2908,840,55,11,WALKER CAN,1,40.093521,-115.632413,88,9,1,1,55011,Point
90,2909,840,55,12,MIZPAH,1,40.328679,-114.802044,88,9,1,1,55012,Point
91,2910,840,55,13,SUTCLIFFE,0,39.769539,-119.548958,88,9,1,1,55013,Point
92,2911,840,55,14,FRENCHMAN,0,39.273807,-118.310119,80,9,1,1,55014,Point
93,2912,840,55,15,TOIYABE NF,1,39.004444,-117.466254,88,9,1,1,55015,Point
94,2913,840,55,16,EUREKA,1,39.551815,-116.387094,88,9,1,1,55016,Point
95,2914,840,55,17,ILLIPAH,1,39.362131,-115.270762,88,9,1,1,55017,Point
96,2915,840,55,18,MAJORS PLACE,1,39.207503,-114.497652,88,9,1,1,55018,Point
97,2916,840,55,19,GARDNERVILLE,0,39.00374,-119.84622,88,9,1,1,55019,Point
98,2917,840,55,20,THORNE,0,38.550198,-118.472145,80,9,1,1,55020,Point
99,2918,840,55,21,BIG SMOKEY V,0,38.80578,-117.104195,80,9,1,1,55021,Point
100,2919,840,55,22,DOBBIN CREEK,1,38.87796,-116.403374,88,9,1,1,55022,Point
101,2920,840,55,23,WILLIS,1,38.148121,-115.612409,88,9,1,1,55023,Point
102,2921,840,55,24,MINERVA,1,38.794618,-114.56044,88,9,1,1,55024,Point
103,2922,840,55,25,SILVER PEAK,0,37.755505,-117.63395,80,33,1,1,55025,Point
104,2923,840,55,27,HIKO,1,37.607561,-115.033684,80,9,1,1,55027,Point
105,2924,840,55,28,CALIENTE,1,37.695939,-114.746109,80,9,1,1,55028,Point
106,2925,840,55,29,BEATTY,1,36.907203,-116.761788,83,33,1,1,55029,Point
107,2930,840,55,37,JARBIDGE,0,41.934718,-115.419136,88,9,1,1,55037,Point
108,2931,840,55,43,RUBY VALLEY,0,40.353437,-115.627762,88,9,1,1,55043,Point
109,2932,840,55,45,NIXON,1,39.943255,-119.383475,88,9,1,1,55045,Point
110,2933,840,55,46,Charleston Reservoir,1,41.535093,-115.832044,88,9,1,1,55046,Point
111,2934,840,55,101,BALD MTN.,1,41.833551,-119.669611,89,9,1,1,55101,Point
112,2935,840,55,103,CHIMNEY RES.,1,41.417743,-117.450314,88,9,1,1,55103,Point
113,2936,840,55,108,OREANA,0,40.466957,-118.312789,88,9,1,1,55108,Point
114,2937,840,55,114,FALLON,1,39.40201,-118.725525,80,9,1,1,55114,Point
115,2938,840,55,119,GARDNERVILLE 2,1,39.00374,-119.84621,88,9,1,1,55119,Point
116,2939,840,55,120,HAWTHORNE,0,38.644262,-118.754677,88,9,1,1,55120,Point
117,2940,840,55,121,DARROUGHS HOT SPGS,1,38.893184,-117.19377,80,9,1,1,55121,Point
118,2941,840,55,125,SILVER PEAK 2,1,37.755505,-117.63395,80,33,1,1,55125,Point
