OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
1,470,840,6,2,HOUSE ROCK,1,36.731395,-112.046051,87,16,1,1,6002,Point
2,471,840,6,3,THE GAP,0,36.162354,-111.386582,87,16,1,1,6003,Point
3,472,840,6,4,BLACK MESA,1,36.561287,-110.501946,84,16,1,1,6004,Point
4,473,840,6,5,ROUND ROCK,0,36.508927,-109.472686,84,16,1,1,6005,Point
5,478,840,6,10,ORAIBI,1,35.86872,-110.62304,87,16,1,1,6010,Point
6,479,840,6,11,SAWMILL,1,35.678979,-109.204621,84,16,1,1,6011,Point
7,484,840,6,16,ZENIFF,0,34.667367,-110.323014,87,16,1,1,6016,Point
8,485,840,6,17,HUNT,1,34.478134,-109.60467,87,16,1,1,6017,Point
9,504,840,6,53,PAGE,1,36.913228,-111.4527,87,16,1,1,6053,Point
10,505,840,6,54,COW SPRINGS,1,36.391564,-110.879432,87,16,1,1,6054,Point
11,506,840,6,55,MANY FARMS,1,36.359924,-109.643791,87,16,1,1,6055,Point
12,511,840,6,60,CASTLE BUTTE,1,35.277982,-110.379899,87,16,1,1,6060,Point
13,512,840,6,61,GREASEWOOD,0,35.530235,-109.851609,87,16,1,1,6061,Point
14,516,840,6,66,FOREST LAKES,1,34.7,-110.766667,84,34,1,1,6066,Point
15,517,840,6,67,PINETOP,1,34.115399,-109.915451,84,34,1,1,6067,Point
16,523,840,6,73,ALPINE,1,33.866867,-109.165767,84,34,1,1,6073,Point
17,534,840,6,101,NAVAJO TRAIL,1,36.690102,-113.458786,87,16,1,1,6101,Point
18,535,840,6,103,KAIBITO,1,36.609547,-111.076866,87,16,1,1,6103,Point
19,536,840,6,105,TSAILE,1,36.301969,-109.196587,84,16,1,1,6105,Point
20,541,840,6,116,CLAY SPRING,1,34.611618,-110.378168,84,34,1,1,6116,Point
21,550,840,6,161,KLAGETOH,1,35.541305,-109.323218,87,16,1,1,6161,Point
22,806,840,14,3,NUBIEBER,1,41.101407,-121.257131,85,9,1,1,14003,Point
23,811,840,14,8,LASSEN PARK,0,40.494113,-121.425529,66,15,1,1,14008,Point
24,812,840,14,9,EAGLE LAKE,1,40.5759,-120.69828,85,15,1,1,14009,Point
25,826,840,14,23,BIG PINE,1,37.172092,-118.022002,88,9,1,1,14023,Point
26,832,840,14,29,UBEHEBE,1,36.712668,-117.573792,80,33,1,1,14029,Point
27,833,840,14,30,HAIWEE RES,1,36.155872,-117.885948,80,33,1,1,14030,Point
28,834,840,14,31,WILDROSE,1,36.538175,-117.213837,80,33,1,1,14031,Point
29,859,840,14,56,DARWIN,1,36.318097,-117.67173,80,33,1,1,14056,Point
30,861,840,14,58,EUREKA VAL,1,37.22675,-117.76117,80,33,1,1,14058,Point
31,866,840,14,63,TRONA,1,35.818032,-117.342044,83,33,1,1,14063,Point
32,876,840,14,73,INGALLS,1,41.679699,-120.712822,85,9,1,1,14073,Point
33,879,840,14,76,RAVENDALE,1,40.799955,-120.364626,89,9,1,1,14076,Point
34,880,840,14,77,SHASTA LAKE,1,40.873751,-122.291958,92,5,1,1,14077,Point
35,881,840,14,78,JOHNSVILLE,1,39.784654,-120.632668,66,15,1,1,14078,Point
36,924,840,14,124,DEATH VALLEY,1,36.437309,-116.851174,80,33,1,1,14124,Point
37,939,840,14,139,GREENWATER V,1,36.050985,-116.500418,80,33,1,1,14139,Point
38,948,840,14,151,LIKELY,1,41.235147,-120.336829,85,9,1,1,14151,Point
39,955,840,14,158,SATTLEY,1,39.615376,-120.425822,85,15,1,1,14158,Point
40,958,840,14,161,TEHAMA,1,40.335709,-121.915726,92,32,1,1,14161,Point
41,959,840,14,162,HONEY LAKE,1,40.49329,-120.108001,89,9,1,1,14162,Point
42,962,840,14,165,DAVIS CREEK,1,41.733279,-120.375313,85,9,1,1,14165,Point
43,963,840,14,166,DORRIS,1,41.999886,-121.891607,85,9,1,1,14166,Point
44,965,840,14,168,MACDOEL,1,41.8224,-122.011114,85,9,1,1,14168,Point
45,966,840,14,169,MCCLOUD,1,41.232321,-122.135552,85,5,1,1,14169,Point
46,972,840,14,175,MT SHASTA,1,41.400098,-122.049973,85,5,1,1,14175,Point
47,973,840,14,176,CLEAR LK RES,1,41.819007,-121.069262,85,9,1,1,14176,Point
48,974,840,14,177,CEDARVILLE,1,41.529576,-120.171852,89,9,1,1,14177,Point
49,977,840,14,180,BUTTE MEADOW,1,40.117338,-121.575501,66,15,1,1,14180,Point
50,978,840,14,181,GENESEE,1,40.201761,-120.623502,66,15,1,1,14181,Point
51,989,840,14,192,DEEP SPRINGS,1,37.415801,-118.004311,88,9,1,1,14192,Point
52,996,840,14,199,BARTLE,1,41.252811,-121.823848,85,9,1,1,14199,Point
53,998,840,14,201,HAT CREEK,1,40.81885,-121.570037,66,15,1,1,14201,Point
54,1019,840,14,308,CHAOS CRATER,1,40.497606,-121.428299,66,15,1,1,14308,Point
55,1032,840,14,404,DIRIGIO,1,41.149169,-122.31732,66,5,1,1,14404,Point
56,1033,840,14,405,HACKAMORE,1,41.609179,-121.050248,85,9,1,1,14405,Point
57,1034,840,14,406,TIONESTA,1,41.670897,-121.257461,85,9,1,1,14406,Point
58,1035,840,14,407,CROWDER FLAT,1,41.869963,-120.501154,85,9,1,1,14407,Point
59,1036,840,14,408,MADELINE,1,41.053462,-120.474555,85,9,1,1,14408,Point
60,1040,840,14,412,FALL RIVER MILLS,1,40.962084,-121.578842,66,9,1,1,14412,Point
61,1041,840,14,413,CHESTER,1,40.305215,-121.143089,66,15,1,1,14413,Point
62,1042,840,14,414,GOUMAZ,1,40.439268,-120.835817,85,15,1,1,14414,Point
63,1043,840,14,415,PAXTON,1,40.040228,-120.996182,66,15,1,1,14415,Point
64,1044,840,14,416,MEADOW VALLEY,1,39.949366,-121.038063,66,15,1,1,14416,Point
65,1045,840,14,417,LITTLE TRUCKEE,1,39.506243,-120.096211,66,15,1,1,14417,Point
66,1058,840,14,430,MEDICINE MTN.,1,41.534114,-121.58434,85,9,1,1,14430,Point
67,1061,840,14,433,CHILCOOT,1,39.797814,-120.139403,85,15,1,1,14433,Point
68,1064,840,14,436,LAST CHANCE,1,40.154164,-120.54534,66,15,1,1,14436,Point
69,1068,840,14,536,SQUAW VALLEY,0,40.153816,-120.545784,66,15,1,1,14536,Point
70,1069,840,14,900,IRON GATE,1,41.902425,-122.563118,85,9,1,2,14900,Point
71,1070,840,14,901,GAZELLE,1,41.520921,-122.520218,85,5,1,2,14901,Point
72,1079,840,17,1,MAYBELL,1,40.74022,-108.088326,86,10,1,1,17001,Point
73,1080,840,17,2,GREAT DIVIDE,1,40.840323,-107.690102,86,10,1,1,17002,Point
74,1081,840,17,3,YAMPA,1,40.153186,-106.874918,84,16,1,1,17003,Point
75,1082,840,17,4,HARMONY,1,40.509083,-105.03923,87,16,1,1,17004,Point
76,1083,840,17,5,BRIGGSDALE,1,40.596354,-104.202782,36,18,1,1,17005,Point
77,1086,840,17,8,DOUGLAS PASS,1,39.400343,-108.812363,84,16,1,1,17008,Point
78,1087,840,17,9,BUFORD,1,39.965891,-107.648323,84,16,1,1,17009,Point
79,1088,840,17,10,ASPEN,1,39.243807,-106.761066,62,16,1,1,17010,Point
80,1089,840,17,11,CHEESMAN LK,1,39.22098,-105.279199,62,16,1,1,17011,Point
81,1090,840,17,12,KIOWA,0,39.379842,-104.369157,87,18,1,1,17012,Point
82,1093,840,17,15,DELTA,1,38.694789,-108.139051,84,16,1,1,17015,Point
83,1094,840,17,16,COLONA,0,38.305785,-107.963312,62,16,1,1,17016,Point
84,1095,840,17,17,PARLIN,1,38.513728,-106.755073,62,16,1,1,17017,Point
85,1096,840,17,18,MOFFAT,1,38.025678,-105.812715,87,16,1,1,17018,Point
86,1100,840,17,22,DOLORES,0,37.518197,-108.535576,84,16,1,1,17022,Point
87,1101,840,17,23,FALFA,1,37.214951,-107.791809,84,16,1,1,17023,Point
88,1102,840,17,24,PAGOSA SPGS,0,37.287731,-106.836945,62,16,1,1,17024,Point
89,1103,840,17,25,BLANCA,0,37.28735,-105.552498,87,16,1,1,17025,Point
90,1107,840,17,31,WRAY GULCH,1,40.065301,-108.415387,84,16,1,1,17031,Point
91,1108,840,17,32,WILSON CREEK,1,40.138026,-107.969772,84,16,1,1,17032,Point
92,1109,840,17,33,WALDEN,1,40.879685,-106.45919,86,16,1,1,17033,Point
93,1110,840,17,34,LOST LAKE,1,40.871617,-105.90793,62,16,1,1,17034,Point
94,1111,840,17,35,HUDSON,1,40.305242,-104.696343,36,18,1,1,17035,Point
95,1114,840,17,38,FRUITA,0,39.164394,-108.701244,87,16,1,1,17038,Point
96,1115,840,17,39,WILLOW PEAK,1,39.664036,-107.123213,62,16,1,1,17039,Point
97,1116,840,17,40,RED CLIFF,1,39.544267,-106.220612,62,16,1,1,17040,Point
98,1117,840,17,41,TARRYALL,1,39.080063,-105.416001,62,16,1,1,17041,Point
99,1118,840,17,42,ADAMS CO.,1,39.840759,-104.188668,36,18,1,1,17042,Point
100,1121,840,17,45,UNCOMPAHGRE,1,38.739729,-108.623622,62,16,1,1,17045,Point
101,1122,840,17,46,CASTLETON,1,38.592052,-106.917498,62,16,1,1,17046,Point
102,1123,840,17,47,DOYLEVILLE,1,38.511252,-106.554206,62,16,1,1,17047,Point
103,1124,840,17,48,GUFFEY,1,38.982811,-105.574674,62,16,1,1,17048,Point
104,1128,840,17,52,DOLORES RIV,1,37.790749,-108.020439,62,16,1,1,17052,Point
105,1129,840,17,53,LAKE CITY,0,37.985745,-107.22396,62,16,1,1,17053,Point
106,1130,840,17,54,PINOS CREEK,0,37.479856,-106.452279,62,16,1,1,17054,Point
107,1131,840,17,55,ALAMOSA,1,37.181085,-105.745965,87,16,1,1,17055,Point
108,1135,840,17,112,KIOWA 2,1,39.328838,-104.38167,36,18,1,1,17112,Point
109,1137,840,17,116,COLONA 2,1,38.305785,-107.963311,62,16,1,1,17116,Point
110,1138,840,17,122,CORTEZ,0,37.516654,-108.464516,84,16,1,1,17122,Point
111,1139,840,17,124,BLACKHEAD PK,1,37.288174,-106.837702,62,16,1,1,17124,Point
112,1140,840,17,125,SAN LUIS,1,37.287296,-105.552582,87,16,1,1,17125,Point
113,1142,840,17,138,Rosevale,1,39.052106,-108.575577,84,16,1,1,17138,Point
114,1143,840,17,153,RIO GRNDS RS,1,37.779275,-107.003624,62,16,1,1,17153,Point
115,1144,840,17,154,SUMMITVILLE,1,37.632987,-106.425093,62,16,1,1,17154,Point
116,1145,840,17,201,BROWNS PARK,1,40.616553,-108.673668,84,10,1,1,17201,Point
117,1146,840,17,202,DUNCKLEY PAS,1,40.210173,-107.03314,62,16,1,1,17202,Point
118,1147,840,17,203,BUFFALO PARK,1,40.133194,-106.490784,62,16,1,1,17203,Point
119,1148,840,17,204,DEADMAN RD.,1,40.759749,-105.472207,62,16,1,1,17204,Point
