"","AOU","n"
"1",10,8
"2",20,4
"3",40,14
"4",50,1
"5",60,44
"6",70,4
"7",530,12
"8",534,1
"9",540,31
"10",580,10
"11",590,15
"12",640,2
"13",690,5
"14",700,2
"15",740,4
"16",770,25
"17",1180,4
"18",1200,39
"19",1210,6
"20",1250,35
"21",1260,1
"22",1290,1
"23",1310,6
"24",1320,198
"25",1340,9
"26",1350,64
"27",1370,22
"28",1390,20
"29",1400,103
"30",1410,8
"31",1420,53
"32",1430,50
"33",1440,64
"34",1460,36
"35",1470,13
"36",1490,13
"37",1500,5
"38",1510,1
"39",1530,1
"40",1670,26
"41",1720,119
"42",1770,23
"43",1780,10
"44",1810,5
"45",1830,9
"46",1840,13
"47",1861,3
"48",1870,10
"49",1880,4
"50",1900,30
"51",1910,6
"52",1940,174
"53",1945,1
"54",1960,69
"55",1970,20
"56",1980,1
"57",1990,7
"58",2000,22
"59",2001,52
"60",2010,56
"61",2020,21
"62",2030,9
"63",2035,1
"64",2060,17
"65",2080,3
"66",2110,2
"67",2120,12
"68",2140,54
"69",2150,1
"70",2180,4
"71",2190,10
"72",2210,65
"73",2240,52
"74",2250,36
"75",2260,22
"76",2300,69
"77",2490,40
"78",2580,39
"79",2610,163
"80",2630,13
"81",2640,39
"82",2730,410
"83",2810,8
"84",2881,23
"85",2890,216
"86",2930,47
"87",3000,2
"88",3050,16
"89",3070,2
"90",3080,30
"91",3090,3
"92",3091,237
"93",3100,148
"94",3110,2
"95",3131,206
"96",3160,458
"97",3180,5
"98",3190,56
"99",3200,22
"100",3210,33
"101",3250,242
"102",3260,58
"103",3270,1
"104",3280,1
"105",3290,51
"106",3310,79
"107",3320,4
"108",3330,25
"109",3350,8
"110",3370,328
"111",3390,48
"112",3400,1
"113",3410,8
"114",3420,161
"115",3430,5
"116",3451,4
"117",3480,35
"118",3490,17
"119",3520,25
"120",3550,15
"121",3560,1
"122",3600,147
"123",3620,36
"124",3640,2
"125",3650,6
"126",3670,18
"127",3680,32
"128",3730,2
"129",3750,96
"130",3780,55
"131",3840,1
"132",3850,70
"133",3870,173
"134",3880,26
"135",3900,16
"136",3920,2
"137",3930,39
"138",3940,136
"139",3950,1
"140",3960,70
"141",4020,14
"142",4021,1
"143",4040,1
"144",4050,31
"145",4060,143
"146",4090,162
"147",4100,39
"148",4120,140
"149",4123,24
"150",4130,34
"151",4160,25
"152",4171,1
"153",4180,5
"154",4190,4
"155",4200,245
"156",4210,7
"157",4230,121
"158",4250,2
"159",4280,31
"160",4290,32
"161",4295,1
"162",4320,5
"163",4390,1
"164",4402,8
"165",4430,160
"166",4440,289
"167",4447,4
"168",4460,1
"169",4461,10
"170",4470,292
"171",4480,24
"172",4490,10
"173",4520,155
"174",4530,14
"175",4540,69
"176",4560,169
"177",4570,119
"178",4590,2
"179",4610,100
"180",4620,48
"181",4640,3
"182",4650,8
"183",4660,50
"184",4661,7
"185",4670,51
"186",4679,3
"187",4690,3
"188",4691,3
"189",4710,15
"190",4740,323
"191",4750,44
"192",4770,216
"193",4780,3
"194",4813,15
"195",4830,5
"196",4860,54
"197",4865,9
"198",4870,37
"199",4880,274
"200",4881,3
"201",4900,13
"202",4910,3
"203",4920,8
"204",4930,350
"205",4940,143
"206",4950,425
"207",4960,19
"208",4970,97
"209",4980,417
"210",5010,195
"211",5011,318
"212",5012,15
"213",5030,5
"214",5040,12
"215",5050,8
"216",5060,208
"217",5070,170
"218",5077,1
"219",5080,109
"220",5100,87
"221",5110,358
"222",5120,97
"223",5130,6
"224",5135,3
"225",5180,1
"226",5190,157
"227",5210,6
"228",5290,225
"229",5300,24
"230",5330,7
"231",5380,42
"232",5390,14
"233",5400,160
"234",5420,94
"235",5450,20
"236",5460,280
"237",5470,10
"238",5480,10
"239",5491,12
"240",5500,1
"241",5520,304
"242",5540,1
"243",5580,3
"244",5600,185
"245",5610,75
"246",5620,30
"247",5630,142
"248",5650,2
"249",5671,2
"250",5677,1
"251",5690,2
"252",5730,27
"253",5738,1
"254",5760,2
"255",5780,107
"256",5800,23
"257",5810,149
"258",5830,1
"259",5840,19
"260",5860,14
"261",5870,41
"262",5880,41
"263",5900,6
"264",5910,23
"265",5930,228
"266",5935,2
"267",5940,26
"268",5950,81
"269",5960,28
"270",5970,198
"271",5980,144
"272",5990,15
"273",6010,109
"274",6040,289
"275",6050,134
"276",6070,7
"277",6080,7
"278",6090,3
"279",6100,69
"280",6110,128
"281",6120,302
"282",6121,35
"283",6122,9
"284",6130,422
"285",6140,119
"286",6150,15
"287",6160,59
"288",6170,101
"289",6190,74
"290",6220,152
"291",6240,98
"292",6270,164
"293",6280,30
"294",6292,7
"295",6300,6
"296",6310,65
"297",6330,103
"298",6340,2
"299",6360,13
"300",6370,2
"301",6410,3
"302",6420,1
"303",6440,2
"304",6450,1
"305",6460,1
"306",6480,27
"307",6520,170
"308",6560,4
"309",6590,4
"310",6620,1
"311",6630,4
"312",6640,1
"313",6660,3
"314",6710,6
"315",6720,1
"316",6730,1
"317",6740,16
"318",6750,3
"319",6760,10
"320",6770,11
"321",6790,1
"322",6800,2
"323",6810,209
"324",6830,58
"325",6870,22
"326",6882,358
"327",6883,1
"328",7000,11
"329",7020,11
"330",7030,241
"331",7040,137
"332",7050,221
"333",7060,12
"334",7070,42
"335",7130,25
"336",7150,39
"337",7170,10
"338",7180,109
"339",7190,81
"340",7210,225
"341",7240,60
"342",7250,49
"343",7270,89
"344",7280,4
"345",7300,1
"346",7310,93
"347",7315,4
"348",7320,33
"349",7331,5
"350",7350,88
"351",7360,76
"352",7380,6
"353",7430,8
"354",7460,19
"355",7490,2
"356",7510,83
"357",7520,3
"358",7540,1
"359",7550,15
"360",7560,10
"361",7590,2
"362",7610,323
"363",7660,183
"364",7670,7
"365",7680,19
"366",22860,281
