"","RouteID","sum","AOU","Ab09","Ab10","Ab11","Ab12","Ab13","Totalab","Aveab","Stdev","CoV","pres"
"1",6002,5,5620,1,13,7,0,2,23,4.6,5.41294744108974,1.17672770458473,1
"2",6052,5,0,0,0,0,0,0,0,0,0,0,0
"3",6053,5,5620,3,0,0,0,1,4,0.8,1.30384048104053,1.62980060130066,1
"4",6059,5,0,0,0,0,0,0,0,0,0,0,0
"5",6103,5,0,0,0,0,0,0,0,0,0,0,0
"6",6108,5,0,0,0,0,0,0,0,0,0,0,0
"7",14018,5,0,0,0,0,0,0,0,0,0,0,0
"8",14059,5,0,0,0,0,0,0,0,0,0,0,0
"9",14078,5,0,0,0,0,0,0,0,0,0,0,0
"10",14082,5,0,0,0,0,0,0,0,0,0,0,0
"11",14096,5,5620,83,49,58,82,52,324,64.8,16.4833249073116,0.25437229795234,1
"12",14104,5,0,0,0,0,0,0,0,0,0,0,0
"13",14128,5,5620,6,4,1,0,0,11,2.2,2.68328157299975,1.21967344227261,1
"14",14132,5,0,0,0,0,0,0,0,0,0,0,0
"15",14140,5,0,0,0,0,0,0,0,0,0,0,0
"16",14142,5,0,0,0,0,0,0,0,0,0,0,0
"17",14151,5,0,0,0,0,0,0,0,0,0,0,0
"18",14156,5,0,0,0,0,0,0,0,0,0,0,0
"19",14158,5,5620,41,25,40,33,8,147,29.4,13.5757136092362,0.46175896630055,1
"20",14165,5,5620,18,5,3,7,19,52,10.4,7.53657747256671,0.724670910823722,1
"21",14166,5,5620,2,2,3,2,5,14,2.8,1.30384048104053,0.465657314657332,1
"22",14181,5,0,0,0,0,0,0,0,0,0,0,0
"23",14188,5,0,0,0,0,0,0,0,0,0,0,0
"24",14199,5,5620,1,0,1,0,1,3,0.6,0.547722557505166,0.912870929175277,1
"25",14406,5,5620,18,22,8,14,30,92,18.4,8.29457654133109,0.450792203333211,1
"26",14407,5,5620,7,19,8,5,12,51,10.2,5.54075807087803,0.543211575576277,1
"27",14415,5,0,0,0,0,0,0,0,0,0,0,0
"28",14416,5,0,0,0,0,0,0,0,0,0,0,0
"29",14419,5,0,0,0,0,0,0,0,0,0,0,0
"30",14420,5,0,0,0,0,0,0,0,0,0,0,0
"31",14422,5,0,0,0,0,0,0,0,0,0,0,0
"32",14434,5,0,0,0,0,0,0,0,0,0,0,0
"33",14436,5,5620,13,6,8,28,10,65,13,8.77496438739212,0.674997260568625,1
"34",17003,5,5620,42,26,17,15,41,141,28.2,12.8335497817245,0.455090417791648,1
"35",17004,5,0,0,0,0,0,0,0,0,0,0,0
"36",17006,5,0,0,0,0,0,0,0,0,0,0,0
"37",17009,5,5620,4,5,3,1,11,24,4.8,3.76828873628335,0.785060153392366,1
"38",17011,5,0,0,0,0,0,0,0,0,0,0,0
"39",17012,5,0,0,0,0,0,0,0,0,0,0,0
"40",17013,5,5620,1,0,0,0,0,1,0.2,0.447213595499958,2.23606797749979,1
"41",17014,5,0,0,0,0,0,0,0,0,0,0,0
"42",17015,5,0,0,0,0,0,0,0,0,0,0,0
"43",17017,5,0,0,0,0,0,0,0,0,0,0,0
"44",17019,5,5620,1,0,1,0,0,2,0.4,0.547722557505166,1.36930639376292,1
"45",17021,5,0,0,0,0,0,0,0,0,0,0,0
"46",17023,5,5620,2,3,0,2,0,7,1.4,1.34164078649987,0.95831484749991,1
"47",17028,5,5620,1,0,2,0,0,3,0.6,0.894427190999916,1.49071198499986,1
"48",17031,5,5620,47,59,47,51,36,240,48,8.30662386291807,0.173054663810793,1
"49",17035,5,0,0,0,0,0,0,0,0,0,0,0
"50",17036,5,0,0,0,0,0,0,0,0,0,0,0
"51",17037,5,0,0,0,0,0,0,0,0,0,0,0
"52",17040,5,0,0,0,0,0,0,0,0,0,0,0
"53",17041,5,0,0,0,0,0,0,0,0,0,0,0
"54",17042,5,0,0,0,0,0,0,0,0,0,0,0
"55",17044,5,0,0,0,0,0,0,0,0,0,0,0
"56",17045,5,5620,12,20,26,18,9,85,17,6.70820393249937,0.394600231323492,1
"57",17046,5,5620,2,3,2,3,3,13,2.6,0.547722557505166,0.210662522117372,1
"58",17047,5,5620,50,33,35,23,24,165,33,10.8857705285386,0.32987183419814,1
"59",17051,5,0,0,0,0,0,0,0,0,0,0,0
"60",17052,5,0,0,0,0,0,0,0,0,0,0,0
"61",17055,5,5620,5,3,3,2,2,15,3,1.22474487139159,0.408248290463863,1
"62",17138,5,5620,8,8,13,7,5,41,8.2,2.94957624075052,0.359704419603723,1
"63",17154,5,0,0,0,0,0,0,0,0,0,0,0
"64",17202,5,5620,1,0,1,1,3,6,1.2,1.09544511501033,0.912870929175277,1
"65",17203,5,5620,5,3,6,12,7,33,6.6,3.36154726279432,0.509325342847625,1
"66",17205,5,0,0,0,0,0,0,0,0,0,0,0
"67",17207,5,0,0,0,0,0,0,0,0,0,0,0
"68",17208,5,5620,17,14,10,8,10,59,11.8,3.63318042491699,0.307896646179406,1
"69",17209,5,0,0,0,0,0,0,0,0,0,0,0
"70",17211,5,0,0,0,0,0,0,0,0,0,0,0
"71",17213,5,0,0,0,0,0,0,0,0,0,0,0
"72",17217,5,5620,6,5,9,3,3,26,5.2,2.48997991959775,0.478842292230336,1
"73",17221,5,0,0,0,0,0,0,0,0,0,0,0
"74",17222,5,0,0,0,0,0,0,0,0,0,0,0
"75",17223,5,0,0,0,0,0,0,0,0,0,0,0
"76",17301,5,5620,75,98,69,13,61,316,63.2,31.2601983359031,0.494623391390872,1
"77",17302,5,5620,14,17,15,23,24,93,18.6,4.61519230368573,0.248128618477727,1
"78",17303,5,0,0,0,0,0,0,0,0,0,0,0
"79",17305,5,5620,5,2,10,7,0,24,4.8,3.96232255123179,0.825483864839956,1
"80",17306,5,0,0,0,0,0,0,0,0,0,0,0
"81",17307,5,0,0,0,0,0,0,0,0,0,0,0
"82",17309,5,5620,3,1,1,10,3,18,3.6,3.71483512420134,1.03189864561148,1
"83",17312,5,0,0,0,0,0,0,0,0,0,0,0
"84",17315,5,5620,12,21,24,12,21,90,18,5.61248608016091,0.311804782231162,1
"85",17318,5,0,0,0,0,0,0,0,0,0,0,0
"86",17319,5,0,0,0,0,0,0,0,0,0,0,0
"87",17321,5,0,0,0,0,0,0,0,0,0,0,0
"88",17322,5,0,0,0,0,0,0,0,0,0,0,0
"89",17359,5,5620,1,0,0,1,0,2,0.4,0.547722557505166,1.36930639376292,1
"90",17362,5,0,0,0,0,0,0,0,0,0,0,0
"91",17365,5,5620,2,3,0,0,1,6,1.2,1.30384048104053,1.08653373420044,1
"92",17366,5,0,0,0,0,0,0,0,0,0,0,0
"93",17367,5,5620,6,6,6,6,11,35,7,2.23606797749979,0.31943828249997,1
"94",17372,5,0,0,0,0,0,0,0,0,0,0,0
"95",17410,5,0,0,0,0,0,0,0,0,0,0,0
"96",17412,5,0,0,0,0,0,0,0,0,0,0,0
"97",17900,5,0,0,0,0,0,0,0,0,0,0,0
"98",17901,5,5620,24,5,18,7,15,69,13.8,7.85493475466219,0.569198170627695,1
"99",17902,5,0,0,0,0,0,0,0,0,0,0,0
"100",17903,5,0,0,0,0,0,0,0,0,0,0,0
"101",33001,5,0,0,0,0,0,0,0,0,0,0,0
"102",33002,5,0,0,0,0,0,0,0,0,0,0,0
"103",33008,5,0,0,0,0,0,0,0,0,0,0,0
"104",33010,5,5620,49,32,33,58,64,236,47.2,14.4464528518249,0.306068916352223,1
"105",33012,5,5620,2,2,3,9,10,26,5.2,3.96232255123179,0.761985106006113,1
"106",33014,5,5620,48,51,15,40,57,211,42.2,16.3920712541155,0.388437707443495,1
"107",33018,5,0,0,0,0,0,0,0,0,0,0,0
"108",33020,5,5620,56,54,27,12,19,168,33.6,20.2558633486702,0.602853075853279,1
"109",33021,5,0,0,0,0,0,0,0,0,0,0,0
"110",33022,5,5620,12,2,1,1,5,21,4.2,4.65832587954085,1.10912520941449,1
"111",33023,5,5620,33,24,17,23,8,105,21,9.24662100445346,0.440315285926355,1
"112",33025,5,5620,24,11,10,28,32,105,21,10,0.476190476190476,1
"113",33027,5,0,0,0,0,0,0,0,0,0,0,0
"114",33029,5,0,0,0,0,0,0,0,0,0,0,0
"115",33119,5,5620,46,37,27,58,66,234,46.8,15.6748205731358,0.334932063528542,1
"116",33124,5,5620,5,0,1,6,0,12,2.4,2.88097205817759,1.20040502424066,1
"117",33128,5,5620,36,15,9,31,33,124,24.8,12.0083304418225,0.484206872654131,1
"118",33202,5,0,0,0,0,0,0,0,0,0,0,0
