"","RouteID","Totalab","p312_400m","p316_1km","p437_8km","p484_5km","p485_4km","p488_8km","p489_400m","p490_4km","p491_20km","p492_8km","p493_1km","p495_8km","p498_400m","p556_400m","p558_400m","p557_400m","pSHV_20km","pDSD_8km","pISNV_400m","evd20km","lvd400m","pwm20km","pwt20km"
"1",6002,23,0,0,0,0.0147577874239003,0.00356708411438599,0,0.33307653481391,0,0,5.31506458934341e-05,0,0,0.108200727890976,0,2.65653640783147e-05,0,0.000524437088366189,0.258987265331417,0.000185957548548203,142.897562075831,124.640876056968,209.450362973846,1047.25181486923
"2",6052,0,0,0.000412047744370896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555875304390576,0.000653924095244389,0,115.39363971336,111.500348484391,371.114132943101,1855.57066471551
"3",6053,4,0,0,0,0.000777935740688086,0.000138806851742469,0,0.00326076532080176,0,0,1.40941437551412e-05,0,0,0.0165276046162207,0,0,0,0.00387032748924909,0.670039437976798,0.000351651162047249,115.253345428673,133.721464714904,95.0884533673232,475.442266836616
"4",6059,0,0,0.00152262559053886,0,0,0,0,0,0,0,0,0,0,0.250888525695904,0,0,0,0.0836086045762166,0.113358763183212,0,127.310551462703,113.032652096312,305.229834516261,1526.14917258131
"5",6103,0,0,0,0,0.00293660691945279,0.000887517750355007,0,0.00923399211665151,0,0,1.55170560154639e-05,0,0,0.205986934590259,0,0.00846219576063287,0,0.000619372296194667,0.627785727190205,0.0268474875272196,115.329987199738,123.351388386215,102.329915859711,511.649579298555
"6",6108,0,0,0,0,0.00058932941752325,0.000279872581646465,0,0.0107487956336499,0,0,0,0,0,0.00133663779900309,0,0.000863245245189496,0,0.00626053277900305,0.28110782018769,0.00103032497006488,139.956804325064,114.927128784286,177.5576713623,887.788356811499
"7",14018,0,0,0,0,0,0,0,0.0718232044198895,0.000122043620424,0,0,0,0,0,0,0,0,0.00168172534971907,0.113909178026291,0,134.127507017346,114.111682343384,1002.94776160711,5014.73880803553
"8",14059,0,0,0,0,0,0,0,0.00296845036383219,0,0,0,0,0,0,0.000683006278403867,0,0.000683006278403867,0.00836210460793004,0.977457895461164,0,135.618461663683,218.462231079157,124.258743659526,621.29371829763
"9",14078,0,0,0,0,0,0,0,3.06889673162498e-05,0.0150101971447995,0,0,0,0,0,0,0,3.06889673162498e-05,0.00357386715262125,0.0173885358947611,0,112.778386192706,109.912330515574,1036.38127568343,5181.90637841716
"10",14082,0,0,0,0,0,0,0.000639129892572732,0.0800305065564494,0.014110670084146,0.0132602938046193,0,0,0,0,0,0,0,0.00270931558075251,0.130553971958454,0,119.215336277398,113.331614933233,790.867477453099,3954.33738726549
"11",14096,324,0,0,0,0.001302608887095,7.61272543183185e-06,0.00817499413558527,0.423201406763679,0,0.209219765192985,0,0,0,2.54848492571166e-05,0.000101939397028467,0,0,0.0272506708228224,0.612663226210024,0,119.001921346872,105.448824751634,283.443556442449,1417.21778221225
"12",14104,0,0,0,0,0,0,0,0.000141598935176007,0,0,0,0,0,0,0,0.00243550168502733,0.000453116592563224,0.648979508929297,0.0106669638617859,0.00243550168502733,119.416540610091,108.910203984581,461.467751406847,2307.33875703424
"13",14128,11,0,0,0,0,0,0,0.0292757769899028,0.0484253385801358,0,0,0,0,0.000497605274615911,0.0017001513549377,0,0.000642740146378885,0.0566248933431463,0.497636087529786,0,118.400004312675,129.185952167314,265.034178339906,1325.17089169953
"14",14132,0,0,0,0,0,0,0,0.00499088491079167,0.0669979401584167,0,0,0,0,0,0.000179313230327844,0,0,0.0101781589616691,0.0715880486368791,0,120.936456436386,115.599821503975,887.81609061919,4439.08045309595
"15",14140,0,0,0,0,0,0.0030100006993496,0,0.00016890940825404,0,0,0,0,0,0,0,0.00256179269185294,0,0.637348117588755,0.0672763495893823,0.00256179269185294,116.271807205878,NA,274.728239803197,1373.64119901599
"16",14142,0,0,0,0,0,0.000137257843647356,0,0.00341060002414584,0,0,0,0,0,0,0,0.000150911505493179,0.00223349028129905,0.377841177288273,0.00824160308145872,0.000150911505493179,119.589237591425,118.014229244575,315.957160077294,1579.78580038647
"17",14151,0,0,0,0,0,0,0.00193899328509708,0.0206582250845978,0.0948800639658849,0.00121654410420185,0,0.0230044951312325,0,0,0.256958847287414,0.000163737583233271,0.194602117672743,0.032638460258191,0.477297570993891,0.000163737583233271,106.599480264524,106.682086179616,302.682615342504,1513.41307671252
"18",14156,0,0,0,0,0,0,0,0.0061189688032902,0.0696727413084834,0,0,0,0,0,0,0,0,0.0571767407239191,0.0738138133553191,0,118.062446087058,114.443475915241,960.518713368846,4802.59356684423
"19",14158,147,0,0,0,0,0,0,0.151073183346263,0.222323385430985,0,0,0,0,0,0.00354279803465218,0.000724075510731833,0.00431859322472201,0.040057744722483,0.267343468793191,0.000724075510731833,114.61900604072,117.078471189284,558.503278223919,2792.5163911196
"20",14165,52,0,0,0.0347343189636244,0,0,9.14879601844397e-06,0.00868085106382979,0.0227204032061297,0.0151664008223787,0,0.00806347643659974,0,0,0.0138439716312057,0,0.0671205673758865,0.186445355248259,0.198033008856035,0,111.874759334564,109.962405726181,380.327377434181,1901.6368871709
"21",14166,14,0,0,0.000446497075923684,0,2.39595562690179e-06,0.000302637636186936,9.20534830736658e-05,0.195164961544912,0,0,0.0195571605055593,0,0,0.238395507790026,0,0.33643246726348,0.0479952031906437,0.250856762885543,0,115.648765533497,131.269442260148,200.444241239289,1002.22120619645
