"","RTENAME","RouteID","evd400m","evd1km","evd4km","evd5km","evd8km","evd20km","lvd400m","lvd1km","lvd4km","lvd5km","lvd8km","lvd20km","pwt400m","pwt1km","pwt4km","pwt5km","pwt8km","pwt20km","pwm400m","pwm1km","pwm4km","pwm5km","pwm8km","pwm20km"
"1","MT TRUMBULL",6001,117.776232170609,117.973751163355,121.475245291303,123.737856733327,126.015550621197,132.978345189096,127.227026938437,124.042502318948,121.782459462357,121.407982761283,121.937931857203,125.032886435174,833.243652228671,833.243652228671,855.136646829338,857.431173776551,872.556101825854,893.407283714273,166.648730445734,166.648730445734,171.027329365868,171.48623475531,174.511220365171,178.681456742855
"2","HOUSE ROCK",6002,138.838643177676,141.715162409312,148.780244192517,149.211844175775,147.879079058566,142.897562075831,124.640876056968,124.050511966647,123.741917251794,124.214854332366,126.008811839161,124.163535987385,1046.63593896788,988.783629322817,999.192657652224,997.762939564172,992.727857780853,1047.25181486923,209.327187793576,197.756725864563,199.838531530445,199.552587912834,198.545571556171,209.450362973846
"3","THE GAP",6003,109.369650913172,111.449639874055,113.386634311101,113.503606634498,114.491974208052,116.90324432291,119.372327554663,118.141813974965,115.963588358913,115.928181579122,116.945486672094,119.008596141968,462.870879221165,454.967753214948,450.580005895464,457.173033819311,455.553154717367,460.967264976025,92.574175844233,90.9935506429895,90.1160011790928,91.4346067638621,91.1106309434734,92.193452995205
"4","BLACK MESA",6004,126.545529338367,134.652188232613,143.727939394216,146.669571064226,151.775849976501,157.302291555843,121.694800401018,121.043736351113,121.580033268168,121.007006868364,120.177868887647,121.724061945554,611.264780459987,609.655108388031,608.743128414879,608.595542765264,616.518654564856,642.391053796357,122.252956091997,121.931021677606,121.748625682976,121.719108553053,123.303730912971,128.478210759271
"5","ROUND ROCK",6005,115.76640143685,115.642785618988,116.577602254455,116.199908229958,115.556505042986,114.317377289376,123.637622088642,122.096413482271,121.376480370697,120.877796815406,121.484398246516,121.166573619271,621.076385411608,585.252160778533,574.187267892236,558.477174015991,638.130937022606,716.298769807773,124.215277082322,117.050432155707,114.837453578447,111.695434803198,127.626187404521,143.259753961555
"6","FLAGSTAFF",6009,107.7463204438,107.380480051994,108.933671722564,110.790000880332,118.971125380594,122.897636576061,117.226076330768,116.641990904314,115.450500175384,115.061035470332,115.604150426041,114.979023050729,1294.07228373309,1370.31448372231,1413.24638992236,1325.04827884229,1390.37556201047,1247.50444313383,258.814456746617,274.062896744461,282.649277984472,265.009655768459,278.075112402093,249.500888626767
"7","ORAIBI",6010,103.716699706927,103.747873355604,105.154669694481,105.744526567777,107.633222887001,106.776179635691,111.968171145579,111.848993377253,114.684897115368,115.597542948343,117.985034254042,115.961450002944,455.027480514311,454.750774738068,449.173153140402,448.917974508021,452.524192698976,444.098226250339,91.0054961028623,90.9501549476136,89.8346306280803,89.7835949016042,90.5048385397953,88.8196452500677
"8","SAWMILL",6011,122.58184405208,122.336615672547,121.856427960615,122.119972817974,123.362662412657,126.351075229829,110.727702517526,110.721905119357,111.579034395995,111.593752439344,111.83298065076,113.34419709285,924.427836125717,936.726984467226,916.854996684273,881.198142221135,835.173153759479,789.674072338412,184.885567225143,187.345396893445,183.370999336855,176.239628444227,167.034630751896,157.934814467682
"9","MORMON LAKE",6015,108.528347566937,109.540739463199,114.913809085543,116.587166920946,120.659486365261,118.898011086479,114.266076607058,113.449884834661,115.142274267581,115.786904444643,114.920733801363,113.476828345045,2087.92065930141,1675.40055026074,1709.44990005358,1685.79318667681,1605.2858524483,1633.00716192858,417.584131860282,335.080110052149,341.889980010715,337.158637335363,321.057170489659,326.601432385716
"10","TOROWEAP",6051,132.524048484769,134.02342088905,153.714518110374,152.461777855737,152.187215211737,152.148663744001,112.998639685134,113.466118985474,122.1457093946,122.655767378827,123.490169504047,126.411476641262,933.968558853406,866.642659749685,934.417373874388,931.631705541388,950.878302559327,940.405932254878,186.793711770681,173.328531949937,186.883474774878,186.326341108278,190.175660511865,188.081186450976
