"","RouteID","countobs","mean_temp","prop_quality","msday","mean_noise"
"1",6002,1,68.4,1,40.4,0
"2",6052,1,70,1,58.4,0
"3",6053,1,66.8,0.8,41,0
"4",6059,1,73.6,1,55.8,0.112
"5",6103,1,77,1,52.4,0.008
"6",6108,1,68.4,1,44.2,0.016
"7",14018,1,64.8,1,63.8,0.008
"8",14059,1,85.6,1,31.2,0.024
"9",14078,1,64.8,1,57.8,0.028
"10",14082,1,60.4,0.8,72,0.196
"11",14096,1,64.2,1,52,0
"12",14104,1,73.2,0.6,71.6,0
"13",14128,1,18.2,1,43,0
"14",14132,3,70,1,69.4,0.432
"15",14140,1,69.8,1,26.4,0
"16",14142,1,61.8,0.8,61.4,0
"17",14151,1,64.2,1,56.6,0.128
"18",14156,1,70.6,1,54,0.044
"19",14158,1,57.2,1,71.6,0.036
"20",14165,1,57.2,1,55.6,0.072
"21",14166,1,58.8,1,51.4,0.004
"22",14181,1,65.2,1,46.6,0.084
"23",14188,1,66.2,1,51.8,0.104
"24",14199,2,22.8,1,79.8,0.012
"25",14406,2,17.4,1,80.2,0.008
"26",14407,1,69.4,1,69.6,0
"27",14415,2,67.2,1,53.8,0.088
"28",14416,3,70.8,0.4,69.6,0.048
"29",14419,1,22.4,1,64.6,0.024
"30",14420,1,23.4,0.6,51.8,0.068
"31",14422,1,69,1,49,0.124
"32",14434,1,69,1,65.4,0.004
"33",14436,1,60,1,53.4,0
"34",17003,1,69.8,1,50.8,0
"35",17004,1,65.6,0.8,69.2,0.164
"36",17006,1,77.4,1,53.8,0.02
"37",17009,2,64.4,1,70.2,0.004
"38",17011,1,62.8,1,53.2,0.096
"39",17012,1,72.6,0.8,55.6,0
"40",17013,1,79,1,65.8,0.02
"41",17014,1,83,1,48.8,0.004
"42",17015,2,65.6,0.8,60,0.004
"43",17017,1,30.4,1,75,0.004
"44",17019,2,74.6,1,68.4,0.012
"45",17021,2,68.8,1,53.8,0
"46",17023,1,68.8,1,70.4,0.016
"47",17028,1,81.4,0.8,49.2,0.108
"48",17031,1,63,1,51.6,0.024
"49",17035,1,74,1,52,0.012
"50",17036,1,67.4,1,59.4,0.044
"51",17037,1,72.2,1,54.4,0.044
"52",17040,1,65.2,1,77.4,0.064
"53",17041,1,68.6,1,67.8,0
"54",17042,1,66.2,1,62.4,0.004
"55",17044,1,35.2,1,51.6,0
"56",17045,2,59,1,75.8,0.004
"57",17046,1,61.8,1,75,0.088
"58",17047,1,67.6,0.8,75.6,0.028
"59",17051,1,67.8,0.8,67,0.012
"60",17052,1,69.6,1,66.2,0.08
"61",17055,1,74.2,1,58.2,0.064
"62",17138,1,74.8,1,66.2,0
"63",17154,1,53,0.8,70.8,0
"64",17202,1,67.4,1,78.4,0.008
"65",17203,1,57.6,1,64.2,0
"66",17205,1,72,1,47.8,0.02
"67",17207,1,69.8,1,61,0
"68",17208,1,74.8,1,67.6,0.016
"69",17209,1,59.6,1,68.6,0.008
"70",17211,1,75.6,1,67.2,0.372
"71",17213,1,68.8,1,54.4,0.032
"72",17217,1,62.6,1,75.2,0.12
"73",17221,1,37.8,1,52.6,0
"74",17222,1,68.4,1,77.6,0.004
"75",17223,1,63.4,1,66.2,0.02
"76",17301,3,62.2,0.8,49.2,0.004
"77",17302,3,60.2,1,62,0.044
"78",17303,1,70.8,0.8,78.4,0.008
"79",17305,1,74.2,0.4,69.4,0
"80",17306,2,76.4,1,66.6,0.032
"81",17307,1,60,1,61.2,0.004
"82",17309,1,57,1,66.4,0.068
"83",17312,1,63.4,1,58.6,0.06
"84",17315,2,70.4,1,51.6,0.06
"85",17318,1,73.8,1,75.6,0.008
"86",17319,2,68.8,1,50.2,0
"87",17321,2,70.4,1,54.8,0
"88",17322,1,71.4,1,52.6,0
"89",17359,1,61.2,0.8,50.2,0.136
"90",17362,1,66,0.8,50.2,0.012
"91",17365,1,63.4,0.8,59.6,0.024
"92",17366,1,55.2,0.8,64.2,0.028
"93",17367,1,70.4,1,77.2,0.004
"94",17372,1,66.2,1,56,0.032
"95",17410,1,59.8,1,70.2,0.116
"96",17412,2,74.4,0.8,51.8,0.016
"97",17900,1,71.2,1,56.4,0.036
"98",17901,1,68.6,1,51.6,0.004
"99",17902,1,50.4,0.8,81.4,0.064
"100",17903,3,76.4,0,49.2,0.108
"101",33001,1,55.6,1,61.6,0.028
"102",33002,2,59.6,1,59.8,0.32
"103",33008,1,45,0.8,76.8,0.4
"104",33010,2,61.2,1,63.2,0.008
"105",33012,1,50.2,1,70.2,0
"106",33014,2,61.4,0.8,66,0.02
"107",33018,1,58.2,1,50.8,0.112
"108",33020,1,68,1,64.2,0.02
"109",33021,1,74.4,1,57.6,0.064
"110",33022,1,79.4,0.4,78.4,0.148
"111",33023,1,74.2,0.8,55.4,0
"112",33025,1,59.6,1,62,0.012
"113",33027,1,74,1,66,0.064
"114",33029,1,59.2,1,61.6,0.008
"115",33119,1,50,1,64,0
"116",33124,1,54.6,1,42.8,0.06
"117",33128,1,64.6,1,62.4,0.04
"118",33202,1,66.6,1,67.8,0.408
"119",33204,1,62,1,61,0.004
"120",33208,1,61,0.8,65.4,0.044
"121",33209,2,60.2,1,64.8,0.24
"122",33211,1,69.6,0.8,50.8,0
"123",33212,1,56.4,1,68.8,0.148
"124",33213,2,57.2,0.6,82.8,0.12
"125",33214,1,50.2,0.8,56.2,0
"126",33217,1,62.2,1,54,0.336
"127",33218,1,60.2,0.8,53.8,0.004
"128",33219,2,58.2,1,63,0.04
"129",33220,1,71.4,1,66.6,0.028
"130",33221,1,75.2,0.4,67.6,0.188
"131",33223,1,66.4,1,73,0
"132",33226,2,65.6,0.8,61.2,0.048
"133",33227,1,74.8,1,61.8,0
"134",33901,2,59.2,1,63.8,0.152
"135",33902,2,63.6,1,62.6,0.132
"136",33903,2,70.8,1,69.4,0.028
"137",33904,2,68.4,1,58,0.008
"138",33905,2,63.8,1,54.6,0.088
"139",33906,1,58.2,1,55,0.276
"140",33907,1,54.6,0.8,72.2,0.12
"141",53001,2,74,1,67.4,0.18
"142",53002,1,56.8,1,56,0.032
"143",53007,2,60.2,0.8,66.4,0.012
"144",53008,2,57,0.6,60.6,0.064
"145",53009,1,60.8,1,66.6,0.008
"146",53012,5,52,1,71.2,0.004
"147",53013,2,61.6,1,71.6,0.164
"148",53015,1,63.2,0.8,76.8,0.204
"149",53016,1,58.2,1,56,0
"150",53017,1,67.8,1,67.8,0.004
"151",53018,1,58,1,68.4,0.048
"152",53019,1,67.4,1,66.4,0
"153",53025,1,62.8,1,69,0
"154",53026,1,63,1,71.4,0.004
"155",53027,1,62.8,1,65,0.04
"156",53028,1,63.6,1,65.6,0.008
"157",53036,1,50.4,1,63.6,0.088
"158",53039,2,53.4,1,62,0
"159",53040,1,64.8,1,63.8,0.056
"160",53041,2,64.6,1,60.4,0.004
"161",53046,2,47.8,1,69.6,0.008
